label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
b0256_r3,256,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0512_r1,512,Trial division,INCONCLUSIVE,0,7999984,0,0,499999,divisions,499999,20,88172645463325252
b0512_r1,512,Fermat,PROBABLY_PRIME,7962479,3423,4780,10220,21289,rounds,20,20,88172645463325252
b0512_r1,512,Solovay-Strassen,PROBABLY_PRIME,7985604,3687,4780,10200,25027,rounds,20,20,88172645463325252
b0512_r1,512,Miller-Rabin,PROBABLY_PRIME,7899296,3035,4780,10200,15304,rounds,20,20,88172645463325252
b0512_r1,512,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0512_r1,512,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0512_r2,512,Trial division,INCONCLUSIVE,0,7999984,0,0,499999,divisions,499999,20,88172645463325252
b0512_r2,512,Fermat,PROBABLY_PRIME,8109678,3434,5060,10220,21452,rounds,20,20,88172645463325252
b0512_r2,512,Solovay-Strassen,PROBABLY_PRIME,8133321,3704,5060,10200,25220,rounds,20,20,88172645463325252
b0512_r2,512,Miller-Rabin,PROBABLY_PRIME,8047056,3047,5060,10200,15580,rounds,20,20,88172645463325252
b0512_r2,512,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0512_r2,512,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0512_r3,512,Trial division,INCONCLUSIVE,0,7999984,0,0,499999,divisions,499999,20,88172645463325252
b0512_r3,512,Fermat,PROBABLY_PRIME,8279844,3455,5380,10220,21959,rounds,20,20,88172645463325252
b0512_r3,512,Solovay-Strassen,PROBABLY_PRIME,8302856,3735,5380,10200,25693,rounds,20,20,88172645463325252
b0512_r3,512,Miller-Rabin,PROBABLY_PRIME,8216080,3033,5380,10200,15903,rounds,20,20,88172645463325252
b0512_r3,512,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0512_r3,512,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b1024_r1,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,20,88172645463325252
b1024_r1,1024,Fermat,PROBABLY_PRIME,64397241,12003,10420,20460,43579,rounds,20,20,88172645463325252
b1024_r1,1024,Solovay-Strassen,PROBABLY_PRIME,64491070,12271,10420,20440,51152,rounds,20,20,88172645463325252
b1024_r1,1024,Miller-Rabin,PROBABLY_PRIME,64147840,11601,10420,20440,31520,rounds,20,20,88172645463325252
b1024_r1,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b1024_r1,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b1024_r2,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,20,88172645463325252
b1024_r2,1024,Fermat,PROBABLY_PRIME,64563403,12004,10500,20460,43626,rounds,20,20,88172645463325252
b1024_r2,1024,Solovay-Strassen,PROBABLY_PRIME,64654337,12272,10500,20440,51062,rounds,20,20,88172645463325252
b1024_r2,1024,Miller-Rabin,PROBABLY_PRIME,64287264,11591,10500,20427,31589,rounds,20,20,88172645463325252
b1024_r2,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b1024_r2,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b1024_r3,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,20,88172645463325252
b1024_r3,1024,Fermat,PROBABLY_PRIME,64232119,11987,10340,20460,43551,rounds,20,20,88172645463325252
b1024_r3,1024,Solovay-Strassen,PROBABLY_PRIME,64323236,12244,10340,20440,50996,rounds,20,20,88172645463325252
b1024_r3,1024,Miller-Rabin,PROBABLY_PRIME,63981568,11583,10340,20440,31444,rounds,20,20,88172645463325252
b1024_r3,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b1024_r3,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b2048_r1,2048,Trial division,INCONCLUSIVE,0,31999936,0,0,499999,divisions,499999,20,88172645463325252
b2048_r1,2048,Fermat,PROBABLY_PRIME,511032955,45475,20880,40940,86983,rounds,20,20,88172645463325252
b2048_r1,2048,Solovay-Strassen,PROBABLY_PRIME,511397597,45728,20880,40920,101993,rounds,20,20,88172645463325252
b2048_r1,2048,Miller-Rabin,PROBABLY_PRIME,509859008,45084,20880,40896,63121,rounds,20,20,88172645463325252
b2048_r1,2048,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b2048_r1,2048,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b2048_r2,2048,Trial division,INCONCLUSIVE,0,31999936,0,0,499999,divisions,499999,20,88172645463325252
b2048_r2,2048,Fermat,PROBABLY_PRIME,509222552,45522,20660,40940,86777,rounds,20,20,88172645463325252
